Parameter,Initial value,Model estimate,Standard Error
k_e_P,0.949,0.296,0.061
k_p1,0.406,3.736,0.165
k_p2,0.564,37.181,22.573
k_ent,0.000,0.000,0.000
k_stor,0.710,0.038,0.012
k_sliv,0.380,0.110,0.019
D,10000.000,10000.000,0.000
F,1.000,1.000,0.000
k_ent_gf,0.091,1.360,0.095
k_ent_omm,0.449,0.745,0.069
k_ent_spf,0.850,0.590,0.065

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
D31FA16_SPF_Duodenum,2.0,244.944,244.944,571.341,,,
D31FA16_SPF_Duodenum,6.0,63.443,63.443,54.400,,,
D31FA16_SPF_Jejunum,0.0,0.000,0.000,0.000,202511.090,366.752,0.990
D31FA16_SPF_Jejunum,1.0,1328.506,1328.506,709.407,,,
D31FA16_SPF_Jejunum,2.0,1166.825,1166.825,559.450,,,
D31FA16_SPF_Jejunum,6.0,294.932,294.932,54.400,,,
D31FA16_SPF_Ileum,0.0,0.000,0.000,0.000,7617.355,70.782,0.815
D31FA16_SPF_Ileum,1.0,131.483,131.483,69.391,,,
D31FA16_SPF_Ileum,2.0,199.654,199.654,56.080,,,
D31FA16_SPF_Ileum,6.0,82.929,82.929,5.466,,,
D31FA16_SPF_Plasma,0.0,0.000,0.000,0.000,46104.824,167.069,0.853
D31FA16_SPF_Plasma,1.0,869.824,869.824,493.494,,,
D31FA16_SPF_Plasma,2.0,852.506,852.506,989.006,,,
D31FA16_SPF_Plasma,6.0,635.071,635.071,479.626,,,
D31FA16_SPF_Liver,0.0,0.000,0.000,0.000,123371.217,277.915,0.943
D31FA16_SPF_Liver,1.0,161.053,161.053,18.978,,,
D31FA16_SPF_Liver,2.0,550.059,550.059,105.600,,,
D31FA16_SPF_Liver,6.0,995.818,995.818,470.693,,,
D31FA16_SPF_Content_duodenum,0.0,0.000,0.000,0.000,41352.263,130.542,0.919
D31FA16_SPF_Content_duodenum,1.0,280.631,280.631,673.552,,,
D31FA16_SPF_Content_duodenum,2.0,126.043,126.043,24.889,,,
D31FA16_SPF_Content_duodenum,6.0,28.094,28.094,0.000,,,
D31FA16_SPF_Content_jejunum,0.0,0.000,0.000,0.000,31095.916,136.768,0.986
D31FA16_SPF_Content_jejunum,1.0,825.732,825.732,1134.942,,,
D31FA16_SPF_Content_jejunum,2.0,178.663,178.663,75.284,,,
D31FA16_SPF_Content_jejunum,6.0,134.483,134.483,0.000,,,
D31FA16_SPF_Content_ileum,0.0,0.000,0.000,0.000,44382.570,149.964,0.287
D31FA16_SPF_Content_ileum,1.0,241.740,241.740,118.688,,,
D31FA16_SPF_Content_ileum,2.0,402.580,402.580,8.106,,,
D31FA16_SPF_Content_ileum,6.0,82.332,82.332,0.000,,,
D31FA16_SPF_iWAT,0.0,0.000,0.000,0.000,1010.110,25.662,0.943
D31FA16_SPF_iWAT,1.0,23.647,23.647,6.585,,,
D31FA16_SPF_iWAT,2.0,0.441,0.441,36.642,,,
D31FA16_SPF_iWAT,6.0,113.941,113.941,163.326,,,
D31FA16_SPF_eWAT,0.0,0.000,0.000,0.000,2666.944,37.302,0.889
D31FA16_SPF_eWAT,1.0,24.471,24.471,6.585,,,
D31FA16_SPF_eWAT,2.0,0.353,0.353,36.642,,,
D31FA16_SPF_eWAT,6.0,68.294,68.294,163.326,,,
D31FA16_SPF_Content_colon,0.0,0.000,0.000,0.000,29585.486,128.302,-0.439
D31FA16_SPF_Content_colon,1.0,10.896,10.896,132.209,,,
D31FA16_SPF_Content_colon,2.0,89.736,89.736,9.622,,,
D31FA16_SPF_Content_colon,6.0,311.780,311.780,0.000,,,
D31FA16_SPF_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_SPF_Content_cecum,1.0,0.000,,125.386,,,
D31FA16_SPF_Content_cecum,2.0,0.000,,8.833,,,
D31FA16_SPF_Content_cecum,6.0,0.000,,0.000,,,
D5FA16_GF_si,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_GF_si,1.0,0.000,,238.304,,,
D5FA16_GF_si,2.0,0.000,,5.657,,,
D5FA16_GF_si,6.0,0.000,,0.000,,,
D5FA16_GF_Duodenum,0.0,0.000,0.000,0.000,110504.274,179.481,0.918
D5FA16_GF_Duodenum,1.0,492.166,492.166,1155.432,,,
D5FA16_GF_Duodenum,2.0,358.416,358.416,368.409,,,
D5FA16_GF_Duodenum,6.0,46.297,46.297,1.630,,,
D5FA16_GF_Jejunum,0.0,0.000,0.000,0.000,27212.849,133.708,0.968
D5FA16_GF_Jejunum,1.0,991.076,991.076,896.855,,,
D5FA16_GF_Jejunum,2.0,615.047,615.047,356.628,,,
D5FA16_GF_Jejunum,6.0,183.820,183.820,1.630,,,
D5FA16_GF_Ileum,0.0,0.000,0.000,0.000,2800.174,41.923,-0.399
D5FA16_GF_Ileum,1.0,8.674,8.674,87.417,,,
D5FA16_GF_Ileum,2.0,14.082,14.082,35.705,,,
D5FA16_GF_Ileum,6.0,67.489,67.489,0.164,,,
D5FA16_GF_Plasma,0.0,0.000,0.000,0.000,113004.836,241.580,0.945
D5FA16_GF_Plasma,1.0,2320.388,2320.388,1785.452,,,
D5FA16_GF_Plasma,2.0,2156.118,2156.118,2562.619,,,
D5FA16_GF_Plasma,6.0,567.250,567.250,542.368,,,
D5FA16_GF_Liver,0.0,0.000,0.000,0.000,80737.656,212.292,0.673
D5FA16_GF_Liver,1.0,140.809,140.809,75.466,,,
D5FA16_GF_Liver,2.0,652.012,652.012,335.900,,,
D5FA16_GF_Liver,6.0,505.787,505.787,973.498,,,
D5FA16_GF_Content_duodenum,0.0,0.000,0.000,0.000,23487.109,104.673,0.774
D5FA16_GF_Content_duodenum,1.0,212.789,212.789,487.214,,,
D5FA16_GF_Content_duodenum,2.0,150.831,150.831,14.539,,,
D5FA16_GF_Content_duodenum,6.0,7.976,7.976,0.000,,,
D5FA16_GF_Content_jejunum,0.0,0.000,0.000,0.000,752493.172,612.348,0.885
D5FA16_GF_Content_jejunum,1.0,2094.436,2094.436,710.008,,,
D5FA16_GF_Content_jejunum,2.0,1077.791,1077.791,32.348,,,
D5FA16_GF_Content_jejunum,6.0,19.519,19.519,0.000,,,
D5FA16_GF_Content_ileum,0.0,0.000,0.000,0.000,8878.370,69.792,-0.400
D5FA16_GF_Content_ileum,1.0,12.206,12.206,73.543,,,
D5FA16_GF_Content_ileum,2.0,49.008,49.008,3.439,,,
D5FA16_GF_Content_ileum,6.0,172.264,172.264,0.000,,,
D5FA16_GF_iWAT,0.0,0.000,0.000,0.000,1904.069,27.290,0.971
D5FA16_GF_iWAT,1.0,1.088,1.088,26.186,,,
D5FA16_GF_iWAT,2.0,32.971,32.971,116.554,,,
D5FA16_GF_iWAT,6.0,338.272,338.272,337.794,,,
D5FA16_GF_eWAT,0.0,0.000,0.000,0.000,394.517,16.921,0.994
D5FA16_GF_eWAT,1.0,0.735,0.735,26.186,,,
D5FA16_GF_eWAT,2.0,142.059,142.059,116.554,,,
D5FA16_GF_eWAT,6.0,354.522,354.522,337.794,,,
D5FA16_GF_Content_colon,0.0,0.000,0.000,0.000,2583.015,35.989,-0.365
D5FA16_GF_Content_colon,1.0,0.000,0.000,83.958,,,
D5FA16_GF_Content_colon,2.0,1.398,1.398,4.163,,,
D5FA16_GF_Content_colon,6.0,57.232,57.232,0.000,,,
D5FA16_GF_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_GF_Content_cecum,1.0,0.000,,78.653,,,
D5FA16_GF_Content_cecum,2.0,0.000,,3.785,,,
D5FA16_GF_Content_cecum,6.0,0.000,,0.000,,,
D31FA16_GF_si,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_GF_si,1.0,0.000,,238.304,,,
D31FA16_GF_si,2.0,0.000,,5.657,,,
D31FA16_GF_si,6.0,0.000,,0.000,,,
D31FA16_GF_Duodenum,0.0,0.000,0.000,0.000,90162.299,188.804,0.989
D31FA16_GF_Duodenum,1.0,567.799,567.799,1155.432,,,
D31FA16_GF_Duodenum,2.0,259.176,259.176,368.409,,,
D31FA16_GF_Duodenum,6.0,59.979,59.979,1.630,,,
