Parameter,Initial value,Model estimate,Standard Error
k_e_P,0.949,0.303,0.070
k_p1,0.406,3.686,0.181
k_p2,0.564,40.087,29.567
k_ent,0.710,0.875,0.053
k_stor,0.380,0.031,0.014
k_sliv,0.091,0.120,0.022
D,10000.000,10000.000,0.000
F,1.000,1.000,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
D5FA16_SPF_Content_colon,0.0,0.000,0.000,0.000,47428.621,132.709,-0.364
D5FA16_SPF_Content_colon,1.0,6.765,6.765,102.784,,,
D5FA16_SPF_Content_colon,2.0,16.774,16.774,6.686,,,
D5FA16_SPF_Content_colon,6.0,424.727,424.727,-0.000,,,
D5FA16_SPF_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_SPF_Content_cecum,1.0,0.000,,97.522,,,
D5FA16_SPF_Content_cecum,2.0,0.000,,6.163,,,
D5FA16_SPF_Content_cecum,6.0,0.000,,-0.000,,,
D31FA16_SPF_si,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_SPF_si,1.0,0.000,,250.400,,,
D31FA16_SPF_si,2.0,0.000,,6.307,,,
D31FA16_SPF_si,6.0,0.000,,-0.000,,,
D31FA16_SPF_Duodenum,0.0,0.000,0.000,0.000,154609.495,266.469,0.971
D31FA16_SPF_Duodenum,1.0,343.308,343.308,1073.228,,,
D31FA16_SPF_Duodenum,2.0,244.944,244.944,533.798,,,
D31FA16_SPF_Duodenum,6.0,63.443,63.443,16.339,,,
D31FA16_SPF_Jejunum,0.0,0.000,0.000,0.000,183055.100,352.860,0.961
D31FA16_SPF_Jejunum,1.0,1328.506,1328.506,842.507,,,
D31FA16_SPF_Jejunum,2.0,1166.825,1166.825,519.978,,,
D31FA16_SPF_Jejunum,6.0,294.932,294.932,16.339,,,
D31FA16_SPF_Ileum,0.0,0.000,0.000,0.000,8215.568,72.354,0.717
D31FA16_SPF_Ileum,1.0,131.483,131.483,75.455,,,
D31FA16_SPF_Ileum,2.0,199.654,199.654,47.690,,,
D31FA16_SPF_Ileum,6.0,82.929,82.929,1.502,,,
D31FA16_SPF_Plasma,0.0,0.000,0.000,0.000,161909.262,242.655,0.847
D31FA16_SPF_Plasma,1.0,869.824,869.824,934.875,,,
D31FA16_SPF_Plasma,2.0,852.506,852.506,1646.888,,,
D31FA16_SPF_Plasma,6.0,635.071,635.071,523.884,,,
D31FA16_SPF_Liver,0.0,0.000,0.000,0.000,47768.843,176.537,0.959
D31FA16_SPF_Liver,1.0,161.053,161.053,40.461,,,
D31FA16_SPF_Liver,2.0,550.059,550.059,206.812,,,
D31FA16_SPF_Liver,6.0,995.818,995.818,753.507,,,
D31FA16_SPF_Content_duodenum,0.0,0.000,0.000,0.000,31052.470,116.939,0.918
D31FA16_SPF_Content_duodenum,1.0,280.631,280.631,616.153,,,
D31FA16_SPF_Content_duodenum,2.0,126.043,126.043,21.904,,,
D31FA16_SPF_Content_duodenum,6.0,28.094,28.094,-0.000,,,
D31FA16_SPF_Content_jejunum,0.0,0.000,0.000,0.000,13506.655,100.332,0.985
D31FA16_SPF_Content_jejunum,1.0,825.732,825.732,972.146,,,
D31FA16_SPF_Content_jejunum,2.0,178.663,178.663,58.230,,,
D31FA16_SPF_Content_jejunum,6.0,134.483,134.483,-0.000,,,
D31FA16_SPF_Content_ileum,0.0,0.000,0.000,0.000,46654.468,157.148,0.281
D31FA16_SPF_Content_ileum,1.0,241.740,241.740,92.380,,,
D31FA16_SPF_Content_ileum,2.0,402.580,402.580,5.678,,,
D31FA16_SPF_Content_ileum,6.0,82.332,82.332,-0.000,,,
